run,showcase,case_id,expected_outcome,expected_rule,observed_outcome,observed_rule,pass,latency_ms,HazardConcepts,ConditionConcepts,InformationState,Predicted_Safety,Predicted_Urgency,Predicted_PrimaryTrade,RepeatAssessment,FailSafeType,error
1,Routine repair,HARDEN-SHOWCASE-ROUTINE-R01-9c35fcd1f95c405ea8b83698df4b9df4,ACT,P15_ROUTINE_AUTHORIZED_ACTION,,,False,12.1,,,,,,,,,FileNotFoundError: [WinError 2] The system cannot find the file specified
1,Needs a detail,HARDEN-SHOWCASE-ASK-R01-0ec4468105004dc1ad1bb5ac86ad055f,ASK,P05A_SECURITY_CLARIFICATION,,,False,7.3,,,,,,,,,FileNotFoundError: [WinError 2] The system cannot find the file specified
1,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R01-46e210d2797349d0864e5311abd2f86f,ESCALATE,P04_AUTHORITY_EXCEEDED,,,False,6.5,,,,,,,,,FileNotFoundError: [WinError 2] The system cannot find the file specified
1,Critical hazard,HARDEN-SHOWCASE-GAS-R01-180c963e866d4642a99c2aa3d49c3100,ACT+ESCALATE,P03_CRITICAL_HAZARD,,,False,6.1,,,,,,,,,FileNotFoundError: [WinError 2] The system cannot find the file specified
